VideoID,Comment
UtdTxpcTPBk,"Vachesadu ra Babu vedu , Inka raled anti anukuntuna"
UtdTxpcTPBk,Andhrawala 2
UtdTxpcTPBk,Super gaa chepparu brother 👍👍👍👍👍👍
UtdTxpcTPBk,Jai NTR cm NTR
UtdTxpcTPBk,గొప్ప నటుడు కి పర్మిషన్ ఇవ్వకపోవడం చాలా బాధాకరం
UtdTxpcTPBk,Jai NTR 🥵💥💥
UtdTxpcTPBk,ఆ విషయం అందరికీ తెలుసులే గాని పొడుకో ఇంకా
UtdTxpcTPBk,tdp fan base and kamma fan base.
UtdTxpcTPBk,కర్నూల్ లో పెట్టింటే బాగుండేది.
UtdTxpcTPBk,Ha...
UtdTxpcTPBk,మళ్లీ స్టార్టింగ్ లో ఎక్కడ ప్రమోషన్ వీడియో పెడతావు అనుకున్నాను గురు
UtdTxpcTPBk,Jai NTR 💥❤❤😢
UtdTxpcTPBk,రాజకీయ నాయకుల కుట్ర bro
UtdTxpcTPBk,Avunnu bro Prabhas fans and Bunny fans kuda vacharuu😅 support edham anni😊
UtdTxpcTPBk,🔥🔥🔥🔥
UtdTxpcTPBk,Ntr ni thokkadaniki politics play chesaru. Sunamini apalani chuste emi avuthundo  September 27th na kanapadathadi....
UtdTxpcTPBk,Jai NTR ✌️
UtdTxpcTPBk,9:41 egarly waiting 🔥🔥
UtdTxpcTPBk,NTR sambavam loading 🎉🎉
UtdTxpcTPBk,నువ్వు వెళ్ళి ఉంటే సందట్లో సడేమియా అని నిన్ను అప్పడం లా నలిపేసే వారు.😂
UtdTxpcTPBk,వెయిటింగ్
UtdTxpcTPBk,Man of masses NTR.    Karnataka   Gangavathi fans ❤
UtdTxpcTPBk,"Ka lo 2 .5 lakhs vacharu bro , no place to stand even parking aythe 10 km pettaru, road block 15 to 20 km akkada police valla kaladhu"
UtdTxpcTPBk,నువ్వు బలే చెప్తావ్ బ్రదర్ తెలంగాణలో పర్మిషన్ ఇవ్వకుండా చేసిందే చంద్రబాబు నారా లోకేష్ అక్కడ సీఎం సీఎం అని అరుస్తారు అని ఇంకా ఆంధ్రాలో ఎలా ఇస్తాడు పర్మిషన్
UtdTxpcTPBk,Capacity is 7000
UtdTxpcTPBk,Jai prabhash anna ❤
UtdTxpcTPBk,Karnataka Ballari lo Pedithe 🔥🔥🔥Untadi
UtdTxpcTPBk,Jai NTR
UtdTxpcTPBk,Jai ntr ❤🎉
UtdTxpcTPBk,N t r 🎉
UtdTxpcTPBk,పబ్లిక్ సిటీ కి ఎక్కువ ఖర్చు పెట్టడం లేదు
UtdTxpcTPBk,నిర్మాతలు నిజంగా ఖర్చు పెట్టాలంటే ఆంధ్రాలో కూడా చేసి ఉండొచ్చు
UtdTxpcTPBk,Ramoji flim city is best for pre release
UtdTxpcTPBk,CBN plan idi ntr ni elagaina thokeyalani permission ivakunda chesadu
UtdTxpcTPBk,ఈవెంట్ ఆంధ్ర లో పెట్టుకోవాలి.
UtdTxpcTPBk,Egarly waiting for devara 💥❤️❤️
UtdTxpcTPBk,Mng e ntr Dubai ki velthu kalisindu naaku airport lo😊
UtdTxpcTPBk,Jai Jai Jr NTR AnnA ❤❤❤
UtdTxpcTPBk,AP lo asale ivvaru due to family issues
UtdTxpcTPBk,Jananiki event valla em upayogam undi  e force  collectionlo lede enduku mahidar  prajaliki ollu sabha betedi  out dorlo problem ite  yavvu   response e vedo vaste.
UtdTxpcTPBk,Makers planning correct ga cheyley😔
UtdTxpcTPBk,Jai ntr anna❤❤❤
UtdTxpcTPBk,Ntr ఎన్టీఆర్ గురించి బాగా చెప్పారు మీ మాట మాకు చాలా తృప్తిగా ఉంది మంచి పని చేశారు పక్కా మాత్రం 27వ తారీకు మాత్రం చూస్టేబుల్ సినిమా చూస్తారు జై ఎన్టీఆర్ జై జై ఎన్టీఆర్
UtdTxpcTPBk,Haters happy ga unnara😂😂😂😂😂😂😂😂😂
UtdTxpcTPBk,Budameru ki vachina varada la NTR fans novotel ki vacharu 😂
UtdTxpcTPBk,Jai NTR ❤❤❤❤
UtdTxpcTPBk,Jai NTR ❣️
UtdTxpcTPBk,Arri puku ap lo full rains he
UtdTxpcTPBk,Event hindupur lo pedithe bomma dadarilipotundi
UtdTxpcTPBk,RRR chikkabalapur
UtdTxpcTPBk,Power of CNB
UtdTxpcTPBk,people watng for devara like
UtdTxpcTPBk,Passes akkuva echaru
UtdTxpcTPBk,రేయ్ ఇది కూడా వీడియో చేసి...పెట్టుకున్నావ్ చూడు ...నీకు యూట్యూబ్ డబ్బులు అంటే ఎంత కకృతి అర్థం అవుతుంది .
UtdTxpcTPBk,Young Tiger 🐅🐅 NTR anna
UtdTxpcTPBk,🙏🙏🙏❤️❤️❤️❤️❤️❤️❤️
UtdTxpcTPBk,Waiting ❤❤
UtdTxpcTPBk,Naku challa hating ga vundhi broader
UtdTxpcTPBk,Jay NTR❤
UtdTxpcTPBk,జై ఎన్టీఆర్ ✨
UtdTxpcTPBk,ఆంధ్రాలో కర్నూల్ సైడ్ ఆంధ్ర సైడ్ మొత్తం వర్షాలు అన్న😢
UtdTxpcTPBk,Silpakalavedika lo pettina bagane vuntundu
UtdTxpcTPBk,Edite EMI nasanam chesaru😢
UtdTxpcTPBk,మాస్ ఫంక్షన్ నోవేటెల్ లో ఎట్టిన దరిద్రుడుని అనాలి
UtdTxpcTPBk,జాన్వి పాప కూడా వీడియో రిలీజ్ చేసింది చాలా ముద్దుగా మాట్లాడుతుంది❤❤😂😂
UtdTxpcTPBk,Missed the Anirudh performance 😢
UtdTxpcTPBk,Missed the ntr speech
UtdTxpcTPBk,Anna permission yivvaledhu anna
UtdTxpcTPBk,NTR ki మాత్రమే సాధ్యం
UtdTxpcTPBk,Anna range ఇదీ జై Ntr ❤️🔥🔥
UtdTxpcTPBk,Amaravathi lo masthu place undi akada pettalsindi
UtdTxpcTPBk,Biggest Fan Base ❤️‍🔥❤️‍🔥
UtdTxpcTPBk,jai NTR Anna ❤️🔥
UtdTxpcTPBk,Jai balayya❤ jai NTR❤
UtdTxpcTPBk,😂😂😂😂😂😂
UtdTxpcTPBk,Jai NTR ♥️
UtdTxpcTPBk,Mistake Event organizers di. Okaesari janalanu pamparu...Edo exam hall ki pampinattu....enduku vachina vallanu vachinattu allow chey ledu...Security vallu part part ga pampistae ayepoyaedi..it's Novotel security and Event organizers fault.
UtdTxpcTPBk,Shilpa kala vedhika lo pettalsindhii kanisam
UtdTxpcTPBk,Jai ntr anna
UtdTxpcTPBk,Jai ntr
UtdTxpcTPBk,Don't beg
UtdTxpcTPBk,Waiting booking kosam
UtdTxpcTPBk,Andhravala 😂😂😂😂😂😂
UtdTxpcTPBk,"జై ఎన్టీఆర్, సూపర్ డూపర్  దేవర  ఔది."
UtdTxpcTPBk,Waiting😊
UtdTxpcTPBk,"NTR BJP నీ కలవడం వలన ఇలా చేస్తున్నారు...
ఇలా జరగడం మొదటి సారి కాదు...
బ్రహ్మాస్త్రం కి కూడా ఇలానే చేశారు"
UtdTxpcTPBk,NTR fans దమ్ము ఎంతో TFI ki తెల్సింది
UtdTxpcTPBk,Jai Jr NTR
UtdTxpcTPBk,Jai NTR ❤❤
UtdTxpcTPBk,Jai ntr
UtdTxpcTPBk,Eagerly waiting ❤
UtdTxpcTPBk,AP lo chesi unte Thagalapadipoyedhi bro🔥🥵
UtdTxpcTPBk,Ntr  ని తట్టుకోలేము అని రేవంత్ రెడ్డి గారికి తెలుసు జై NTR
UtdTxpcTPBk,@@SaiCharan-hg5yu 😂😂😂😂😂😂😂😂
UtdTxpcTPBk,😂😂😂😂😂😂
UtdTxpcTPBk,Jai ntr
UtdTxpcTPBk,ntr ane peru okaritho modalayyi iddari tho aagedi kadu kotla Mandi gunde chappudu Jai ntr anna 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥
UtdTxpcTPBk,Oka normal cinema ke ee range ante ... Okasaari oohinchu kondi ... Tigerrrrr CM iy assembly ki velthe 🥵🥵😧🔥🔥
UtdTxpcTPBk,😂😂😂😂😂😂😂😂 release avvadhu assembly ki velthe
UtdTxpcTPBk,CM enti bro PM avvali assalu ❤😍🔥
UtdTxpcTPBk,అది అవ్వదు.. ఎప్పటికి 😂😂
UtdTxpcTPBk,😂😂😂😂😂సూపర్ joke 😂😂😂😂😂
UtdTxpcTPBk,Jai man of masses❤️❤️❤️❤️❤️❤️❤️
UtdTxpcTPBk,20k vacharu anthea...malli miru yekkuva chesi cheppakandi
UtdTxpcTPBk,Ntr 💥💥💣
UtdTxpcTPBk,Jai NTR 🎉❤
UtdTxpcTPBk,Jai ntr anna❤
UtdTxpcTPBk,i am waiting for devara movie eagerly  nee videos chala baaguntaay anna  excelent explaination
UtdTxpcTPBk,I am waiting for devara movie 😊😊
UtdTxpcTPBk,Jai NTR
UtdTxpcTPBk,Jai NTR
UtdTxpcTPBk,Jai NTR 🎉🎉🎉
UtdTxpcTPBk,Kala vedika unndi ga bro  mistake chesaru valla end nuchi complete ga
UtdTxpcTPBk,ఇక్కడ కూడా ఆంధ్రవాళ్లే....ఎక్కువ
UtdTxpcTPBk,Telangana lo Koda fans yekkuve ntr ki
UtdTxpcTPBk,Im waiting అన్న
UtdTxpcTPBk,Waiting 27th
UtdTxpcTPBk,Jai NTR
UtdTxpcTPBk,Jai devara 🔥💯💯
UtdTxpcTPBk,జై ఎన్టీఆర్ ❤❤❤
UtdTxpcTPBk,ఎన్టీఆర్ 👍👍👍
UtdTxpcTPBk,That's man of masses
UtdTxpcTPBk,Jai NTR 🐯
UtdTxpcTPBk,🙏🙏🙏
UtdTxpcTPBk,1st day collection ఎంత రావచ్చు?
UtdTxpcTPBk,200 + crores anna
UtdTxpcTPBk,ఇప్పుడున్న ప్రజెంట్ సిచువేషన్ ఏంటో తెలుసా నిజానికి ఉన్న విలువ 10% అబద్ధ అనుకున్న విలువ 1000% నువ్వు చూసింది ఒక బ్రహ్మ నేను చూస్తుంది ఒక బ్రహ్మ మీరందరూ చూస్తుంది తప్పు అని చెప్పడానికి నీలాంటోడు సృష్టించేది ఇంకొక బ్రహ్మ... డబ్బు కోసం పబ్లిసిటీ కోసం ఆడే నాటకాలు ఏవి
UtdTxpcTPBk,🔥🔥🔥🔥🔥🔥
UtdTxpcTPBk,Jai ntr devara ❤❤
UtdTxpcTPBk,ఈ సినిమా కూడాఆచార్య పాద ఘట్టం అని తెలిసిపోయిందని పబ్లిసిటీ కోసం క్యాన్సల్ చేశారు కావాలని.. ఒక చిన్న గీత దగ్గర పెద్ద గీత గీస్తే చూసేది పెద్ద గీతనే
UtdTxpcTPBk,Ne moham
UtdTxpcTPBk,At least shilpakalavedika lo nina host cheyyalsindhi
UtdTxpcTPBk,Jai NTR
UtdTxpcTPBk,Jay NTR
UtdTxpcTPBk,Mothaniki....event ni....mingaru...Anna mata.....mana vallu...😂
UtdTxpcTPBk,"Waiting for devara❤❤❤
జై NTR"
UtdTxpcTPBk,Jai NTR
UtdTxpcTPBk,Uppal capacity is 35000+😂😂😂😂😂
UtdTxpcTPBk,bodi devara ki inta build up
UtdTxpcTPBk,Por...p
UtdTxpcTPBk,Waiting for devara❤❤❤
UtdTxpcTPBk,Success meet
UtdTxpcTPBk,"Bayya ala avthundi ani thelikenkada stop ipoindi. Malli nuvvu akkada pettochu kada, iklada pettochu kada antaventi. Vallu kooda expect cheyaledhu kada."
UtdTxpcTPBk,TQ BROTHER for NTR videos ❤❤
UtdTxpcTPBk,Chandra babu ivva vadhu annadu anukunta bayata pettadaniki 😅
UtdTxpcTPBk,Cbn anta cheap mentality kadu
UtdTxpcTPBk,జై ఎన్టీఆర్ అన్న 👍👍🥰🥰🥰
UtdTxpcTPBk,Jai NTR 🔥
UtdTxpcTPBk,100000🫵🙏🙏🔥🔥👌✊✊ NTR
UtdTxpcTPBk,Jai NTR Anna 🔥 🔥
UtdTxpcTPBk,Jai ntr 🔥🔥🔥🔥🔥🔥🔥
UtdTxpcTPBk,Anna nenu kuda vella NTR anna kurchone place lo kuda vacchi kurchonnaru police cheppina yevadu vinadam ledhu kanisam NTR ni chestheyyi chalu anukonnam anna ravadaniki place kuda ledhu inkem vasthadu
UtdTxpcTPBk,NTR
UtdTxpcTPBk,"Jaiii ntr ...
Open event unte bagunu ❤❤❤❤🎉"
UtdTxpcTPBk,Jai ntr❤
UtdTxpcTPBk,జై NTR ❤❤❤❤❤❤🎉🎉
UtdTxpcTPBk,😢😢😢😢😢😢😢
UtdTxpcTPBk,ఆంధ్ర లో పెడితే ఆంధ్రావాలా ని దాటేస్తుంది అన్నా
UtdTxpcTPBk,😂😂😂
UtdTxpcTPBk,​@@p.karthik2636orey insta pilla nibba school ki velli vachava pakkakelli aduko
UtdTxpcTPBk,Yess from pawan kalyan fan
UtdTxpcTPBk,*అంత లేదు బాబు అప్పుడు అంటే బస్సులు ట్రైన్స్ పెట్టు tdp కార్యకర్తలని రప్పించారు ఇప్పుడు మనకు అంత లేదు ఎవరు దెగడం లేదు😂😂😂*
UtdTxpcTPBk,AAthulla katta em kaadhu
UtdTxpcTPBk,అసలు తెలంగాణలో పర్మిషన్ ఇవ్వకుండా  చేసిందే చంద్రబాబు  ఇంకా ఆంధ్రాలో పర్మిషన్ ఇస్తాడా
UtdTxpcTPBk,​@@ashokroy5029😂😂😂ala ankoni happy avvandi meeru
UtdTxpcTPBk,Avnu bro kachitanga 🔥
UtdTxpcTPBk,"​@@GVRVlogs-ఔనా 
మరి ఏపీ లో 6 షో లకి రేట్స్ హైక్ ఇచ్చారు ఎలా .

మనకేం తెలీదు నోటికి ఏదోస్తే అధి అనడం"
UtdTxpcTPBk,దేవర ఆంధ్రావాలా అంత హిట్ అవుతుంది
UtdTxpcTPBk,"@@kantharao263 😂😂entha jealous, aa matram vuntadi ntr ante 🔥"
UtdTxpcTPBk,Pookem kaadha 😅😂
UtdTxpcTPBk,​@@ashokroy5029 akkada ntr chimpu kadu
UtdTxpcTPBk,@@puttasatish9568 ఏంట్రా అసలు అది ఏం పెట్టావు ఎలా చదవాలి ఏం అర్థం కావట్లేదు 😂😂
UtdTxpcTPBk,NTR🌹👌👌👌👌👌
UtdTxpcTPBk,Jai ntr
UtdTxpcTPBk,"Bro niku assalu matter akkada m jarigindho telidoo 
Malli NV ee topic meeda matladuthunav"
UtdTxpcTPBk,Jai ntr
UtdTxpcTPBk,NTR fanbase ki open grounds unte ne correct 💯
UtdTxpcTPBk,Jai NTR 🔥
UtdTxpcTPBk,❤❤❤❤❤❤❤❤👍👍👍👍👍👍👍✋✋✋
UtdTxpcTPBk,Iam waiting  NTR annyya movie ❤❤❤
